Designator,Mid X,Mid Y,Rotation,Layer
BZ1,92.5,-35.7,270.0,top
C1,74.209457,-70.675707,90.0,top
C2,74.20875,-66.0,90.0,top
C3,60.5,-66.0,270.0,top
C4,54.6,-57.9,0.0,top
D1,86.5,-53.8,0.0,top
D10,18.5,-73.5,0.0,top
D11,18.5,-44.17,0.0,top
D12,18.625,-41.2,0.0,top
D13,18.5,-35.2,0.0,top
D14,18.5,-38.2,0.0,top
D2,80.5,-53.8,0.0,top
D3,56.0,-76.1,180.0,top
D4,56.0,-73.0,180.0,top
D5,65.0,-74.5,0.0,top
D6,34.5,-77.7,180.0,top
D7,43.5,-77.7,180.0,top
J1,68.5,-83.0,0.0,top
J2,52.714,-86.242,0.0,top
J3,61.604,-86.242,0.0,top
J4,42.3,-82.5,0.0,top
J5,34.5,-86.242,0.0,top
J6,19.175,-66.5,270.0,top
Q1,30.108,-69.224,270.0,top
Q2,85.0,-48.0,0.0,top
R1,87.7,-71.0875,90.0,top
R10,69.0875,-74.5,180.0,top
R11,38.25,-61.5,270.0,top
R12,34.75,-61.5875,90.0,top
R13,22.4,-73.5,180.0,top
R14,45.75,-61.5,270.0,top
R15,42.25,-61.5875,90.0,top
R16,34.5,-40.5,180.0,top
R17,52.0,-76.1,0.0,top
R18,24.1,-41.2,180.0,top
R19,24.1,-44.2,180.0,top
R2,83.5,-40.5,0.0,top
R20,52.0,-73.0,0.0,top
R21,24.1,-35.2,180.0,top
R22,24.1,-38.2,180.0,top
R23,55.2,-62.1,180.0,top
R24,50.174,-59.953,180.0,top
R25,50.2,-57.9,0.0,top
R26,31.124,-64.2945,270.0,top
R27,29.092,-64.2945,270.0,top
R3,79.0,-44.0,0.0,top
R30,79.0,-49.0,0.0,top
R31,79.0,-47.0,0.0,top
R4,79.0,-40.5,0.0,top
R5,80.5,-57.0,0.0,top
R6,86.5,-57.0,0.0,top
R7,83.5,-44.0,0.0,top
R8,83.5875,-37.0,0.0,top
R9,79.0,-37.0,0.0,top
SW1,40.65,-8.075,270.0,top
TP1,82.94,-74.6,0.0,top
TP2,77.098,-74.558,0.0,top
TP3,30.0,-77.6,0.0,top
TP4,39.2,-78.2,0.0,top
TP5,51.0,-64.4,0.0,top
TP6,77.5,-27.5,0.0,top
U1,85.00875,-64.2,270.0,top
U2,55.0,-28.0,0.0,top
U3,45.275,-65.2,270.0,top
U4,37.775,-65.2,270.0,top
U5,33.38,-43.38,0.0,top
