Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_Every,
"C1, C10, C11, C12, C14, C2, C3, C4, C7, C8, C9",0603,11,0.1u,
"C13, C15",0603,2,0.01u,
"C5, C6",0603,2,15p,
"D1, D2, D3, D5",0603,4,LED,
"D4, D6, D7, D8",D_SOD-123,4,D,
"H1, H2, H3, H4",MountingHole_4.5mm,4,MountingHole,
"IC1, IC2",DIP794W53P254L1016H394Q8N,2,LTC1480CN8#PBF,
"J1, J2, J3, J5",Hirose_DF1BZ-4P-2.5DS,4,Conn_01x04,
J4,Hirose_DF11B-8DP-2DS,1,Conn_01x08,
J6,RS_PRO_611-8157,1,Screw_Terminal_01x02,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_2_Open,
LS1,SPKR_PKB24SPCH3601-B0,1,PKB24SPCH3601-B0,
"R1, R11, R13, R16, R2, R4, R7, R9",0603,8,1k,
"R10, R12, R15, R17, R19, R20, R6, R8",0603,8,10k,
"R14, R3, R5",0603,3,120,
"R18, R21",0805,2,100,
U1,DIP254P762X432-18,1,MCP2515-I/P,MCP2515-I/P
U2,DIP-8_W7.62mm,1,MCP2562-E-P,
U3,SOP65P640X110-14N,1,MAX31856MUD+T,
Y1,Crystal_HC49-4H_Vertical,1,8MHz,
